Timestamp,Temperature,Humidity,Co2,Yield
2026-06-01 08:00:00,24.4,73,426,14
2026-06-01 12:00:00,26.9,68,456,17
2026-06-01 16:00:00,25.3,70,442,14
2026-06-02 08:00:00,24.6,71,432,14
2026-06-02 12:00:00,26.8,65,470,17
2026-06-02 16:00:00,25.4,72,443,14
2026-06-03 08:00:00,24.3,71,421,14
2026-06-03 12:00:00,26.6,66,461,18
2026-06-03 16:00:00,26.1,68,434,14
2026-06-04 08:00:00,24.6,73,420,14
2026-06-04 12:00:00,26.1,64,463,17
2026-06-04 16:00:00,25.5,69,452,15
2026-06-05 08:00:00,24.7,72,418,12
2026-06-05 12:00:00,26.9,66,463,16
2026-06-05 16:00:00,25.4,71,433,15
2026-06-06 08:00:00,24.5,70,415,13
2026-06-06 12:00:00,26.1,65,461,16
2026-06-06 16:00:00,25.5,71,445,16
2026-06-07 08:00:00,24.9,72,419,12
2026-06-07 12:00:00,26.5,65,464,16
2026-06-07 16:00:00,25.7,68,444,14
2026-06-08 08:00:00,24.3,73,412,12
2026-06-08 12:00:00,27.1,64,461,19
2026-06-08 16:00:00,25.9,68,439,16
2026-06-09 08:00:00,24.8,71,416,13
2026-06-09 12:00:00,26.5,64,456,16
2026-06-09 16:00:00,25.7,69,432,16
2026-06-10 08:00:00,24.3,73,414,13
2026-06-10 12:00:00,27.0,64,452,16
2026-06-10 16:00:00,26.1,70,432,14
2026-06-11 08:00:00,24.6,71,420,14
2026-06-11 12:00:00,26.5,65,462,18
2026-06-11 16:00:00,25.1,68,451,14
2026-06-12 08:00:00,24.5,73,418,12
2026-06-12 12:00:00,26.6,68,453,16
2026-06-12 16:00:00,25.2,70,450,15
2026-06-13 08:00:00,24.9,70,424,14
2026-06-13 12:00:00,26.7,67,461,17
2026-06-13 16:00:00,26.0,69,438,15
2026-06-14 08:00:00,24.1,69,431,12
2026-06-14 12:00:00,27.0,66,458,17
2026-06-14 16:00:00,25.3,70,441,16
2026-06-15 08:00:00,24.2,69,431,12
2026-06-15 12:00:00,26.2,65,469,17
2026-06-15 16:00:00,25.8,70,448,15
2026-06-16 08:00:00,24.3,69,428,13
2026-06-16 12:00:00,26.6,68,450,16
2026-06-16 16:00:00,25.3,69,452,15
2026-06-17 08:00:00,25.0,72,422,15
2026-06-17 12:00:00,26.3,68,469,17
2026-06-17 16:00:00,25.7,70,447,14
2026-06-18 08:00:00,24.2,71,417,12
2026-06-18 12:00:00,27.0,67,453,18
2026-06-18 16:00:00,25.8,70,451,17
2026-06-19 08:00:00,24.2,69,419,14
2026-06-19 12:00:00,27.0,64,460,16
2026-06-19 16:00:00,25.2,69,434,15
2026-06-20 08:00:00,24.7,70,427,13
2026-06-20 12:00:00,26.6,64,451,16
2026-06-20 16:00:00,25.2,71,436,13
