timestamp,temperature_c,humidity_pct,co2_ppm,yield_kg
2026-05-01 00:00:00,18.1,88.2,1120,4.12
2026-05-01 01:00:00,18.3,87.9,1140,4.15
2026-05-01 02:00:00,18.0,88.5,1110,4.10
2026-05-01 03:00:00,17.9,89.0,1100,4.08
2026-05-01 04:00:00,17.8,89.2,1090,4.05
2026-05-01 05:00:00,17.6,89.5,1085,4.02
2026-05-01 06:00:00,17.5,90.0,1095,4.00
2026-05-01 07:00:00,17.8,88.7,1125,4.11
2026-05-01 08:00:00,18.2,87.1,1150,4.22
2026-05-01 09:00:00,18.5,86.4,1180,4.35
2026-05-01 10:00:00,18.9,85.2,1210,4.48
2026-05-01 11:00:00,19.2,84.0,1230,4.55
2026-05-01 12:00:00,19.5,83.1,1250,4.60
2026-05-01 13:00:00,19.7,82.5,1260,4.62
2026-05-01 14:00:00,19.8,82.0,1265,4.65
2026-05-01 15:00:00,19.6,82.8,1255,4.61
2026-05-01 16:00:00,19.3,83.9,1240,4.52
2026-05-01 17:00:00,18.9,85.0,1220,4.40
2026-05-01 18:00:00,18.6,86.1,1195,4.30
2026-05-01 19:00:00,18.4,87.0,1170,4.21
2026-05-01 20:00:00,18.2,87.8,1150,4.16
2026-05-01 21:00:00,18.0,88.3,1135,4.11
2026-05-01 22:00:00,17.9,88.6,1125,4.09
2026-05-01 23:00:00,17.8,88.9,1115,4.07
2026-05-02 00:00:00,,89.1,1110,4.06
2026-05-02 01:00:00,17.6,89.4,1105,4.04
2026-05-02 02:00:00,17.5,89.8,1100,4.01
2026-05-02 03:00:00,17.4,90.2,1090,3.98
2026-05-02 04:00:00,17.3,90.5,1080,3.95
2026-05-02 05:00:00,17.2,90.8,1075,3.92
2026-05-02 06:00:00,17.2,91.0,1080,3.93
2026-05-02 07:00:00,17.5,89.5,1110,4.04
2026-05-02 08:00:00,17.9,88.0,1140,4.18
2026-05-02 09:00:00,18.3,86.8,1175,4.31
2026-05-02 10:00:00,18.6,85.5,1205,4.42
2026-05-02 11:00:00,19.0,84.2,1235,4.53
2026-05-02 12:00:00,19.3,83.3,1255,4.61
2026-05-02 13:00:00,19.5,82.6,1270,4.66
2026-05-02 14:00:00,19.6,82.1,1280,4.69
2026-05-02 15:00:00,19.4,82.9,1265,4.63
2026-05-02 16:00:00,19.1,84.1,1245,4.54
2026-05-02 17:00:00,18.8,85.3,1225,4.43
2026-05-02 18:00:00,18.5,86.4,1200,4.32
2026-05-02 19:00:00,18.3,87.2,1180,4.24
2026-05-02 20:00:00,18.1,87.9,1160,4.18
2026-05-02 21:00:00,17.9,88.4,1145,4.13
2026-05-02 22:00:00,17.8,88.8,1130,4.10
2026-05-02 23:00:00,17.7,89.1,1120,4.08
2026-05-03 00:00:00,17.6,89.3,1115,4.05
2026-05-03 01:00:00,17.5,89.6,1110,4.03
2026-05-03 02:00:00,17.4,89.9,1100,4.00
2026-05-03 03:00:00,17.3,90.1,1095,3.97
2026-05-03 04:00:00,17.2,90.4,1085,3.94
2026-05-03 05:00:00,17.1,90.6,1080,3.91
2026-05-03 06:00:00,17.2,90.9,1085,3.92
2026-05-03 07:00:00,17.4,89.4,1115,4.02
2026-05-03 08:00:00,17.8,87.9,1145,4.15
2026-05-03 09:00:00,18.1,86.6,1180,4.28
2026-05-03 10:00:00,18.5,85.3,1210,4.40
2026-05-03 11:00:00,18.8,84.1,1240,4.50
2026-05-03 12:00:00,19.1,83.2,1260,4.58
2026-05-03 13:00:00,19.3,82.4,1275,4.63
2026-05-03 14:00:00,19.4,81.9,1285,4.66
2026-05-03 15:00:00,19.2,82.7,1270,4.59
2026-05-03 16:00:00,18.9,83.9,1250,4.49
2026-05-03 17:00:00,18.6,85.1,1230,4.39
2026-05-03 18:00:00,18.3,86.2,1205,4.28
2026-05-03 19:00:00,18.1,87.0,1185,4.19
2026-05-03 20:00:00,17.9,87.7,1165,4.13
2026-05-03 21:00:00,17.7,88.2,1150,4.08
2026-05-03 22:00:00,17.6,88.6,1135,4.05
2026-05-03 23:00:00,17.5,88.9,1125,4.02
2026-05-04 00:00:00,17.4,89.1,1115,4.00
2026-05-04 01:00:00,17.3,89.4,1110,3.97
2026-05-04 02:00:00,17.2,89.7,1100,3.94
2026-05-04 03:00:00,17.1,89.9,1095,3.91
2026-05-04 04:00:00,17.0,90.2,1085,3.88
2026-05-04 05:00:00,16.9,90.4,1080,3.85
2026-05-04 06:00:00,17.0,90.7,1085,3.86
2026-05-04 07:00:00,17.2,89.2,1115,3.96
2026-05-04 08:00:00,17.6,87.7,1145,4.10
2026-05-04 09:00:00,17.9,86.4,1180,4.22
2026-05-04 10:00:00,18.3,85.1,1210,4.35
2026-05-04 11:00:00,18.6,83.9,1240,4.45
2026-05-04 12:00:00,18.9,83.0,1260,4.52
2026-05-04 13:00:00,19.1,82.2,1275,4.58
2026-05-04 14:00:00,19.2,81.7,1285,4.61
2026-05-04 15:00:00,19.0,82.5,1270,4.54
2026-05-04 16:00:00,18.7,83.7,1250,4.44
2026-05-04 17:00:00,18.4,84.9,1230,4.33
2026-05-04 18:00:00,18.1,86.0,1205,4.22
2026-05-04 19:00:00,17.9,86.8,1185,4.14
2026-05-04 20:00:00,17.7,87.5,1165,4.08
2026-05-04 21:00:00,17.5,88.0,1150,4.03
2026-05-04 22:00:00,17.4,88.4,1135,3.99
2026-05-04 23:00:00,17.3,88.7,1125,3.97
2026-05-05 00:00:00,17.2,88.9,1115,3.94
2026-05-05 01:00:00,17.1,89.2,1110,3.91
2026-05-05 02:00:00,17.0,89.5,1100,3.88
2026-05-05 03:00:00,16.9,89.7,1095,3.85
2026-05-05 04:00:00,16.8,90.0,1085,3.82
2026-05-05 05:00:00,16.7,90.2,1080,3.79
2026-05-05 06:00:00,16.8,90.5,1085,3.80
2026-05-05 07:00:00,17.0,89.0,1115,3.90
2026-05-05 08:00:00,17.4,87.5,1145,4.04
2026-05-05 09:00:00,17.7,86.2,1180,4.17
2026-05-05 10:00:00,18.1,84.9,1210,4.29
2026-05-05 11:00:00,18.4,83.7,1240,4.39
2026-05-05 12:00:00,18.7,82.8,1260,4.47
2026-05-05 13:00:00,18.9,82.0,1275,4.52
2026-05-05 14:00:00,19.0,81.5,1285,4.55
2026-05-05 15:00:00,18.8,82.3,1270,4.48
2026-05-05 16:00:00,18.5,83.5,1250,4.38
2026-05-05 17:00:00,18.2,84.7,1230,4.27
2026-05-05 18:00:00,17.9,85.8,1205,4.16
2026-05-05 19:00:00,17.7,86.6,1185,4.08
2026-05-05 20:00:00,17.5,87.3,1165,4.02
2026-05-05 21:00:00,17.3,87.8,1150,3.97
2026-05-05 22:00:00,17.2,88.2,1135,3.94
2026-05-05 23:00:00,17.1,88.5,1125,3.91
2026-05-06 00:00:00,17.0,88.7,1115,3.88
2026-05-06 01:00:00,16.9,89.0,1110,3.85
2026-05-06 02:00:00,16.8,89.3,1100,3.82
2026-05-06 03:00:00,16.7,89.5,1095,3.79
2026-05-06 04:00:00,16.6,89.8,1085,3.76
2026-05-06 05:00:00,16.5,90.0,1080,3.73
2026-05-06 06:00:00,16.6,90.3,1085,3.74
2026-05-06 07:00:00,16.8,88.8,1115,3.84
2026-05-06 08:00:00,17.2,87.3,1145,3.98
2026-05-06 09:00:00,17.5,86.0,1180,4.11
2026-05-06 10:00:00,17.9,84.7,1210,4.24
2026-05-06 11:00:00,18.2,83.5,1240,4.34
2026-05-06 12:00:00,18.5,82.6,1260,4.41
2026-05-06 13:00:00,18.7,81.8,1275,4.46
2026-05-06 14:00:00,18.8,81.3,1285,4.49
2026-05-06 15:00:00,18.6,82.1,1270,4.42
2026-05-06 16:00:00,18.3,83.3,1250,4.32
2026-05-06 17:00:00,18.0,84.5,1230,4.21
2026-05-06 18:00:00,17.7,85.6,1205,4.11
2026-05-06 19:00:00,17.5,86.4,1185,4.03
2026-05-06 20:00:00,17.3,87.1,1165,3.97
2026-05-06 21:00:00,17.1,87.6,1150,3.92
2026-05-06 22:00:00,17.0,88.0,1135,3.88
2026-05-06 23:00:00,16.9,88.3,1125,3.85
2026-05-07 00:00:00,16.8,88.5,1115,3.82
2026-05-07 01:00:00,16.7,88.8,1110,3.79
2026-05-07 02:00:00,16.6,89.1,1100,3.76
2026-05-07 03:00:00,16.5,89.3,1095,3.73
2026-05-07 04:00:00,16.4,89.6,1085,3.70
2026-05-07 05:00:00,16.3,89.8,1080,3.67
2026-05-07 06:00:00,16.4,90.1,1085,3.68
2026-05-07 07:00:00,16.6,88.6,1115,3.78
2026-05-07 08:00:00,17.0,87.1,1145,3.92
2026-05-07 09:00:00,17.3,85.8,1180,4.05
2026-05-07 10:00:00,17.7,84.5,1210,4.18
2026-05-07 11:00:00,18.0,83.3,1240,4.28
2026-05-07 12:00:00,18.3,82.4,1260,4.35
2026-05-07 13:00:00,18.5,81.6,1275,4.40
2026-05-07 14:00:00,18.6,81.1,1285,4.43
2026-05-07 15:00:00,18.4,81.9,1270,4.36
2026-05-07 16:00:00,18.1,83.1,1250,4.26
2026-05-07 17:00:00,17.8,84.3,1230,4.15
2026-05-07 18:00:00,17.5,85.4,1205,4.05
2026-05-07 19:00:00,17.3,86.2,1185,3.97
2026-05-07 20:00:00,17.1,86.9,1165,3.91
2026-05-07 21:00:00,16.9,87.4,1150,3.86
2026-05-07 22:00:00,16.8,87.8,1135,3.82
2026-05-07 23:00:00,16.7,88.1,1125,3.79
2026-05-08 00:00:00,16.6,88.3,1115,3.76
2026-05-08 01:00:00,16.5,88.6,1110,3.73
2026-05-08 02:00:00,16.4,88.9,1100,3.70
2026-05-08 03:00:00,16.3,89.1,1095,3.67
2026-05-08 04:00:00,16.2,89.4,1085,3.64
2026-05-08 05:00:00,16.1,89.6,1080,3.61
2026-05-08 06:00:00,16.2,89.9,1085,3.62
2026-05-08 07:00:00,16.4,88.4,1115,3.72
2026-05-08 08:00:00,16.8,86.9,1145,3.86
2026-05-08 09:00:00,17.1,85.6,1180,3.99
2026-05-08 10:00:00,17.5,84.3,1210,4.12
2026-05-08 11:00:00,17.8,83.1,1240,4.22
2026-05-08 12:00:00,18.1,82.2,1260,4.29
2026-05-08 13:00:00,18.3,81.4,1275,4.34
2026-05-08 14:00:00,18.4,80.9,1285,4.37
2026-05-08 15:00:00,18.2,81.7,1270,4.30
2026-05-08 16:00:00,17.9,82.9,1250,4.20
2026-05-08 17:00:00,17.6,84.1,1230,4.09
2026-05-08 18:00:00,17.3,85.2,1205,3.99
2026-05-08 19:00:00,17.1,86.0,1185,3.91
2026-05-08 20:00:00,16.9,86.7,1165,3.85
2026-05-08 21:00:00,16.7,87.2,1150,3.80
2026-05-08 22:00:00,16.6,87.6,1135,3.76
2026-05-08 23:00:00,16.5,87.9,1125,3.73
2026-05-09 00:00:00,16.4,88.1,1115,3.70
2026-05-09 01:00:00,16.3,88.4,1110,3.67
2026-05-09 02:00:00,16.2,88.7,1100,3.64
2026-05-09 03:00:00,16.1,88.9,1095,3.61
2026-05-09 04:00:00,16.0,89.2,1085,3.58
2026-05-09 05:00:00,15.9,89.4,1080,3.55
2026-05-09 06:00:00,16.0,89.7,1085,3.56
2026-05-09 07:00:00,16.2,88.2,1115,3.66
2026-05-09 08:00:00,16.6,86.7,1145,3.80
2026-05-09 09:00:00,16.9,85.4,1180,3.93
2026-05-09 10:00:00,17.3,84.1,1210,4.06
2026-05-09 11:00:00,17.6,82.9,1240,4.16
2026-05-09 12:00:00,17.9,82.0,1260,4.23
2026-05-09 13:00:00,18.1,81.2,1275,4.28
2026-05-09 14:00:00,18.2,80.7,1285,4.31
2026-05-09 15:00:00,18.0,81.5,1270,4.24
2026-05-09 16:00:00,17.7,82.7,1250,4.14
2026-05-09 17:00:00,17.4,83.9,1230,4.03
2026-05-09 18:00:00,17.1,85.0,1205,3.93
2026-05-09 19:00:00,16.9,85.8,1185,3.85
2026-05-09 20:00:00,16.7,86.5,1165,3.79
2026-05-09 21:00:00,16.5,87.0,1150,3.74
2026-05-09 22:00:00,16.4,87.4,1135,3.70
2026-05-09 23:00:00,16.3,87.7,1125,3.67
2026-05-10 00:00:00,16.2,87.9,1115,3.64
2026-05-10 01:00:00,16.1,88.2,1110,3.61
2026-05-10 02:00:00,16.0,88.5,1100,3.58
2026-05-10 03:00:00,15.9,88.7,1095,3.55
2026-05-10 04:00:00,15.8,89.0,1085,3.52
2026-05-10 05:00:00,15.7,89.2,1080,3.49
